year,artist,title,track_id
2000,MIKAILA,So In Love With Two,0h9mUYPhZd2aQK2JmrHPD2
2000,LENNY KRAVITZ,Again,5c1QJAiC3773EwiZLwHf5x
2000,ALAN JACKSON,www.memory,1Oy02qb3UByrJhUgONgJaJ
2000,EMINEM,Stan,3UmaczJpikHgJFyBTAJVoz
2000,FUEL,Hemorrhage,1sjrDQXqAa9V07FjKIlAQ4
2000,BEENIE MAN,Girls Dem Sugar,3j8EEMm9kbPLqByuaHmUmQ
2000,3 DOORS DOWN,Loser,1aC1IBAETh2XYGOE8kCC6t
2000,LONESTAR,Tell Her,2ilHi6l6v8ABpLIL67jT3H
2000,3LW,No More,5zn1hpm9N0ylKB7kOtpCw2
2000,CARL THOMAS,Emotional,2qYIdNaktgtpaPHxDVMXbE
2000,VITAMIN C,The Itch,3t7sGit21WDOjYkqh3Y9yB
2000,JENNIFER LOPEZ,Love Dont Cost A Thing,1fgvJXlcZ7uIddMpqsqw0L
2000,98 DEGREES,My Everything,0bz0nJ3SztnFRKfSwFbhC6
2000,MUSIQ,Just Friends,5jgEJXjECdlhzNgfITSTVm
2000,BILLY GILMAN,Oklahoma,2TIzsX5IvHW2ppG5PD7Qma
2000,FUNKMASTER FLEX,Do You,1sIivZVDOu1AljYCSTQYwn
2000,MOBY,South Side,49bUJjrC16NgnrgGS75Yan
2000,CAMRON,What Means The World To You,0n61iIJbIZ3DeS8bXy2el8
2000,TONI BRAXTON,Spanish Guitar,1ieouFxB2A3JjKEt1OoEiB
2000,SHADE SHEIST feat NATE DOGG,Where I Wanna Be,0EPEWVjp6jFl4YSF9IyQZ4
2000,DAVE HOLLISTER,One Woman Man,6hdsNoZWIjPSjxcOnsjIxj
2000,K-CI,Crazy,3PJivN5BZ2ckFa22igIu4a
2000,LEE ANN WOMACK,Ashes By Now,6aNmHE3Kyp2sREW45vxX4O
2000,MADONNA,Dont Tell Me,7DOtIhTTpPZyjvbO509hSC
2000,112,Its Over Now,769geiA8btidGHda4BBDOJ
2000,THE WALLFLOWERS,Sleepwalker,5szl1EdOw3CuvItkpGuDHk
2000,JA RULE,Put It On Me,0OvwzS8FX73Bw7ykMRmffU
2000,JAHEIM,Could It Be,1eDmhyYxYa8VG360HVPzUh
2000,TERRI CLARK,A Little Gasoline,3YAYui2FXhYxjK88359km2
2000,BOYZ II MEN,Thank You In Advance,1qLDXxbJK1VLwS9jArwWnC
2000,MOS DEF,Oh No,3tC8SJpOwJhDg8WGG1NKGR
2000,SUNDAY,I Know,6dzykD5EsopHarVtIrTE1J
2000,O-TOWN,Liquid Dreams,2Pxzfzd1jaZT2F2uqLkZUr
2000,MYSTIKAL,Danger,0e42i89bY2NmPuVDtey8pg
2000,PUBLIC ANNOUNCEMENT,Mamacita,4ZUuOMlV8T3bNaiEwtoR3L
2000,FUEL,Hemorrhage,1sjrDQXqAa9V07FjKIlAQ4
2000,SHAGGY,Angel,7FDV5ELOJHCGLe52AnttEd
2000,JAGGED EDGE,Promise,1X1KDnhTnb28tpJlgOV3lD
2000,JAMIE ONEAL,There Is No Arizona,7Hgcw6qYU1ukRdRGvEkJk3
2000,NEWSONG,The Christmas Shoes,2P950p6RQQxCROYYZGjcBr
2000,BBMAK,Still On Your Side,5xHR6Eo11YoZjdkVtIwbb5
2000,GARTH BROOKS,Wild Horses,7AzcVq1aqw5woHHBUM7Sao
2000,KEITH URBAN,But For The Grace Of God,5jDnI5jmAqpvKwmpXP7VSj
2000,RASCAL FLATTS,This Everyday Love,7aNsPkxjfpxr6LM2Mg5sQr
2000,TOBY KEITH,You Shouldnt Kiss Me Like This,5ueUywJbmAZY2MF9hdJS2y
2000,XZIBIT,X,5stZnlPMYz3Ba8Hbo3ajlP
2000,MASTER P,Souljas,1mtUwv8L4nhMRfbP2pa36V
2000,JAY-Z,I Just Wanna Love U,0s46SltT4On0Z6kglK1I5c
2000,EN VOGUE,Riddle,5AYyDRotbApDiucOpJnFGr
2000,MADONNA,American Pie,1vo6TY0FyLRBTXohxvflhJ
2000,SUGAR RAY,Falls Apart,4T7fVN4ZOFE3JoGyaxZL6O
2000,SAMMIE,I Like It,0IvTGWbNnCiUi9IOF7ye3F
2000,WHITNEY HOUSTON,My Love Is Your Love,1ckU1EhAO0Nr73QYw24SWJ
2000,AALIYAH,I Dont Wanna,4h7wUvVV8Ff8UL7JqAByiL
2000,DANGELO,Untitled,4oPNN7syJYSjzDhRerF966
2000,TIM McGRAW,My Best Friend,5BeY2wY4rGFD1Q3aXO83Bv
2000,J-SHIN,One Night Stand,0GkrLimxhiGAGb2lhS2arM
2000,MARK WILLS,Back At One,72MSivvHmzBcpSvcHRyf9b
2000,DIXIE CHICKS,Cowboy Take Me Away,3rXCZRMiMZp0feGcYXpwYX
2000,LONESTAR,Smile,1aDoyG4LiKT3o4ZrQK1auW
2000,EVE,Love Is Blind,0H2jfzzREOr9MF95HB7ry6
2000,TOBY KEITH,How Do You Like Me Now,7rDcULv8vV16vetBjPJhuE
2000,GEORGE STRAIT,The Best Day,5ApdBBa3MtTzpF0MbpB2NG
2000,TRAIN,Meet Virginia,4ocbH5ZJqajZIpUrqRUoue
2000,DONELL JONES,U Know Whats Up,5PMKzsUsTpZZGsCcJBuhP2
2000,BACKSTREET BOYS,Show Me The Meaning Of Being Lonely,3BsaRV5QIulYz2lV9WWa8T
2000,MONTELL JORDAN,Get It On Tonite,0AcLrSfAEBQcUnHOTm5pXg
2000,CHRISTINA AGUILERA,What A Girl Wants,5bGmuxShUba9maPswDnhCs
2000,BRITNEY SPEARS,From The Bottom Of My Broken Heart,70XtWbcVZcpaOddJftMcVi
2000,BLAQUE,Bring It All To Me,1cjBan0t4eBk2Y5j17hdyf
2000,JAGGED EDGE,He Cant Love U,3VEZvzr84WVnoorZ4tlBSw
2000,SONIQUE,It Feels So Good,4Y8q64VnhD0vFYy9g2WFpi
2000,BRIAN McKNIGHT,Back At One,6mwA6YiKDjAUG8kWvRRUPh
2000,FILTER,Take A Picture,2O2mr2gzBRtKGRiswqRyiN
2000,MARC ANTHONY,I Need To Know,7ffwRz8lZyDOE4Vj58Lo72
2000,EIFFEL 65,Blue,2yAVzRiEQooPEJ9SYx11L3
