year,artist,title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,success
2017,FUTURE,Zoom,2IG6Te7JyvrtqhFeOF7le4,0.852,0.438,9.0,-7.673,1.0,0.426,0.0145,0.0,0.263,0.627,150.945,audio_features,2IG6Te7JyvrtqhFeOF7le4,spotify:track:2IG6Te7JyvrtqhFeOF7le4,https://api.spotify.com/v1/tracks/2IG6Te7JyvrtqhFeOF7le4,https://api.spotify.com/v1/audio-analysis/2IG6Te7JyvrtqhFeOF7le4,278429.0,4.0,1.0
2017,KELSEA BALLERINI,Yeah Boy,2WaOQWSv0D1tZNxyLvnGAI,0.589,0.809,3.0,-5.292,1.0,0.0376,0.231,0.0,0.0719,0.496,88.965,audio_features,2WaOQWSv0D1tZNxyLvnGAI,spotify:track:2WaOQWSv0D1tZNxyLvnGAI,https://api.spotify.com/v1/tracks/2WaOQWSv0D1tZNxyLvnGAI,https://api.spotify.com/v1/audio-analysis/2WaOQWSv0D1tZNxyLvnGAI,194413.0,4.0,1.0
2017,KATY PERRY,Chained To The Rhythm,7qvxFz3JodM0A7xEM7k3YD,0.446,0.8,0.0,-5.404,1.0,0.174,0.0814,0.0,0.199,0.474,189.89,audio_features,7qvxFz3JodM0A7xEM7k3YD,spotify:track:7qvxFz3JodM0A7xEM7k3YD,https://api.spotify.com/v1/tracks/7qvxFz3JodM0A7xEM7k3YD,https://api.spotify.com/v1/audio-analysis/7qvxFz3JodM0A7xEM7k3YD,237733.0,4.0,1.0
2017,SAGE THE GEMINI,Now & Later,08WPvDEsHvTFuB9w8tC2OS,0.781,0.57,11.0,-5.874,0.0,0.188,0.273,0.0,0.196,0.858,107.059,audio_features,08WPvDEsHvTFuB9w8tC2OS,spotify:track:08WPvDEsHvTFuB9w8tC2OS,https://api.spotify.com/v1/tracks/08WPvDEsHvTFuB9w8tC2OS,https://api.spotify.com/v1/audio-analysis/08WPvDEsHvTFuB9w8tC2OS,193181.0,4.0,1.0
2017,DJ LUKE NASTY,OTW,5qi7piHIt9zwTYYBnIvfNZ,0.743,0.651,6.0,-5.974,1.0,0.0646,0.0143,0.0,0.079,0.467,82.022,audio_features,5qi7piHIt9zwTYYBnIvfNZ,spotify:track:5qi7piHIt9zwTYYBnIvfNZ,https://api.spotify.com/v1/tracks/5qi7piHIt9zwTYYBnIvfNZ,https://api.spotify.com/v1/audio-analysis/5qi7piHIt9zwTYYBnIvfNZ,219512.0,4.0,1.0
2017,BIG SEAN,Light,0URaKGzNTtzKRtsJN1RkA9,0.505,0.611,7.0,-5.976,0.0,0.0648,0.826,0.0,0.108,0.176,85.944,audio_features,0URaKGzNTtzKRtsJN1RkA9,spotify:track:0URaKGzNTtzKRtsJN1RkA9,https://api.spotify.com/v1/tracks/0URaKGzNTtzKRtsJN1RkA9,https://api.spotify.com/v1/audio-analysis/0URaKGzNTtzKRtsJN1RkA9,210507.0,4.0,1.0
2017,G-EAZY,Some Kind Of Drug,1Bqxj0aH5KewYHKUg1IdrF,0.586,0.525,0.0,-8.968,1.0,0.498,0.0705,0.0,0.0729,0.491,126.51,audio_features,1Bqxj0aH5KewYHKUg1IdrF,spotify:track:1Bqxj0aH5KewYHKUg1IdrF,https://api.spotify.com/v1/tracks/1Bqxj0aH5KewYHKUg1IdrF,https://api.spotify.com/v1/audio-analysis/1Bqxj0aH5KewYHKUg1IdrF,222467.0,4.0,1.0
2017,MIGOS,Kelly Price,204U3zjm9kkzX25Pr4Rdld,0.745,0.685,4.0,-5.7,0.0,0.0313,0.53,0.0,0.176,0.437,121.977,audio_features,204U3zjm9kkzX25Pr4Rdld,spotify:track:204U3zjm9kkzX25Pr4Rdld,https://api.spotify.com/v1/tracks/204U3zjm9kkzX25Pr4Rdld,https://api.spotify.com/v1/audio-analysis/204U3zjm9kkzX25Pr4Rdld,363934.0,4.0,1.0
2017,MARIAH CAREY,I Dont,1hFtJ5rV3aAm58ErijHdFO,0.641,0.504,7.0,-12.486,1.0,0.031,0.197,9.01e-05,0.288,0.276,130.786,audio_features,1hFtJ5rV3aAm58ErijHdFO,spotify:track:1hFtJ5rV3aAm58ErijHdFO,https://api.spotify.com/v1/tracks/1hFtJ5rV3aAm58ErijHdFO,https://api.spotify.com/v1/audio-analysis/1hFtJ5rV3aAm58ErijHdFO,288827.0,4.0,1.0
2017,BIG SEAN,Halfway Off The Balcony,4atJ40xfasjdM9ZF3p07BV,0.525,0.804,8.0,-6.453,1.0,0.25,0.329,0.0,0.228,0.143,125.068,audio_features,4atJ40xfasjdM9ZF3p07BV,spotify:track:4atJ40xfasjdM9ZF3p07BV,https://api.spotify.com/v1/tracks/4atJ40xfasjdM9ZF3p07BV,https://api.spotify.com/v1/audio-analysis/4atJ40xfasjdM9ZF3p07BV,230960.0,4.0,1.0
